t	R
0  9
10  9
20  9
30  9
40  9
50  9
60  9
70  9
80  9
90  9
100  9
110  9
120  9
130  9
140  9
150  9
160  9
170  9
180  9
190  9
200  9
210  9
220  9
230  9
240  9
250  9
260  9
270  9
280  9
290  9
300  9
310  9
320  9
330  9
340  9
350  9
360  9
370  9
380  9
390  9
400  9
410  9
420  9
430  9
440  9
450  9
460  9
470  9
480  9
490  9
500  9
510  9
520  9
530  9
540  9
550  9
560  9
570  9
580  9
590  9
600  9
610  9
620  9
630  9
640  9
650  9
660  9
670  9
680  9
690  9
700  9
710  9
720  9
730  9
740  9
750  9
760  9
770  9
780  9
790  9
800  9
810  9
820  9
830  9
840  9
850  9
860  9
870  9
880  9
890  9
900  9
910  9
920  9
930  9
940  9
950  9
960  9
970  9
980  9
990  9
1000  9
1010  9
1020  9
1030  9
1040  9
1050  9
1060  9
1070  9
1080  9
1090  9
1100  9
1110  9
1120  9
1130  9
1140  9
1150  9
1160  9
1170  9
1180  9
1190  9
1200  9
1210  9
1220  9
1230  9
1240  9
1250  9
1260  9
1270  9
1280  9
1290  9
1300  9
1310  9
1320  9
1330  9
1340  9
1350  9
1360  9
1370  9
1380  9
1390  9
1400  9
1410  9
1420  9
1430  9
1440  9
1450  9
1460  9
1470  9
1480  9
1490  9
1500  9
1510  9
1520  9
1530  9
1540  9
1550  9
1560  9
1570  9
1580  9
1590  9
1600  9
1610  9
1620  9
1630  9
1640  9
1650  9
1660  9
1670  9
1680  9
1690  9
1700  9
1710  9
1720  9
1730  9
1740  9
1750  9
1760  9
1770  9
1780  9
1790  9
1800  9
1810  9
1820  9
1830  9
1840  9
1850  9
1860  9
1870  9
1880  9
1890  9
1900  9
1910  9
1920  9
1930  9
1940  9
1950  9
1960  9
1970  9
1980  9
1990  9
2000  9
2010  9
2020  9
2030  9
2040  9
2050  9
2060  9
2070  9
2080  9
2090  9
2100  9
2110  9
2120  9
2130  9
2140  9
2150  9
2160  9
2170  9
2180  9
2190  9
2200  9
2210  9
2220  9
2230  9
2240  9
2250  9
2260  9
2270  9
2280  9
2290  9
2300  9
2310  9
2320  9
2330  9
2340  9
2350  9
2360  9
2370  9
2380  9
2390  9
2400  9
2410  9
2420  9
2430  9
2440  9
2450  9
2460  9
2470  9
2480  9
2490  9
2500  10
2510  12
2520  14
2530  16
2540  18
2550  19
2560  20
2570  22
2580  24
2590  25
2600  27
2610  28
2620  30
2630  32
2640  33
2650  35
2660  37
2670  39
2680  39
2690  41
2700  42
2710  44
2720  46
2730  47
2740  48
2750  51
2760  52
2770  54
2780  55
2790  57
2800  58
2810  59
2820  62
2830  63
2840  65
2850  66
2860  68
2870  70
2880  72
2890  73
2900  74
2910  76
2920  77
2930  79
2940  80
2950  81
2960  82
2970  84
2980  85
2990  87
3000  88
3010  90
3020  91
3030  92
3040  94
3050  95
3060  96
3070  97
3080  98
3090  99
3100  100
3110  102
3120  102
3130  104
3140  105
3150  106
3160  107
3170  108
3180  108
3190  109
3200  111
3210  111
3220  112
3230  113
3240  114
3250  115
3260  116
3270  117
3280  117
3290  119
3300  120
3310  120
3320  122
3330  122
3340  122
3350  123
3360  123
3370  124
3380  125
3390  126
3400  127
3410  127
3420  129
3430  129
3440  129
3450  130
3460  130
3470  131
3480  132
3490  132
3500  133
3510  134
3520  134
3530  135
3540  136
3550  136
3560  136
3570  137
3580  137
3590  138
3600  138
3610  140
3620  140
3630  140
3640  141
3650  142
3660  142
3670  142
3680  142
3690  142
3700  143
3710  143
3720  143
3730  144
3740  145
3750  145
3760  144
3770  145
3780  145
3790  146
3800  146
3810  147
3820  147
3830  147
3840  148
3850  148
3860  149
3870  149
3880  148
3890  149
3900  149
3910  150
3920  150
3930  150
3940  150
3950  152
3960  151
3970  151
3980  151
3990  153
4000  152
4010  152
4020  153
4030  153
4040  154
4050  155
4060  154
4070  155
4080  154
4090  155
4100  154
4110  154
4120  156
4130  156
4140  155
4150  156
4160  156
4170  155
4180  156
4190  156
4200  156
4210  156
4220  157
4230  156
4240  157
4250  157
4260  158
4270  158
4280  158
4290  158
4300  158
4310  159
4320  158
4330  159
4340  158
4350  158
4360  159
4370  159
4380  160
4390  159
4400  159
4410  159
4420  159
4430  158
4440  158
4450  159
4460  158
4470  159
4480  159
4490  159
4500  160
4510  160
4520  160
4530  160
4540  159
4550  159
4560  143
4570  159
4580  160
4590  159
4600  143
4610  143
4620  159
4630  159
4640  159
4650  160
4660  159
4670  159
4680  159
4690  159
4700  160
4710  160
4720  160
4730  159
4740  154
4750  153
4760  153
4770  153
